name
background
left root
    left Basic cell groups and regions
        left Cerebrum
            left Cerebral cortex
                left Cortical plate
                    left Isocortex
                        left Posterior parietal association areas
                            left Anterior area
"                                left Anterior area, layer 1"
"                                left Anterior area, layer 2/3"
"                                left Anterior area, layer 4"
"                                left Anterior area, layer 5"
"                                left Anterior area, layer 6a"
"                                left Anterior area, layer 6b"
                            left Rostrolateral visual area
"                                left Rostrolateral area, layer 1"
"                                left Rostrolateral area, layer 2/3"
"                                left Rostrolateral area, layer 4"
"                                left Rostrolateral area, layer 5"
"                                left Rostrolateral area, layer 6a"
"                                left Rostrolateral area, layer 6b"
                        left Temporal association areas
"                            left Temporal association areas, layer 1"
"                            left Temporal association areas, layer 2/3"
"                            left Temporal association areas, layer 4"
"                            left Temporal association areas, layer 5"
"                            left Temporal association areas, layer 6a"
"                            left Temporal association areas, layer 6b"
                        left Perirhinal area
"                            left Perirhinal area, layer 1"
"                            left Perirhinal area, layer 2/3"
"                            left Perirhinal area, layer 5"
"                            left Perirhinal area, layer 6a"
"                            left Perirhinal area, layer 6b"
                        left Ectorhinal area
                            left Ectorhinal area/Layer 1
                            left Ectorhinal area/Layer 2/3
                            left Ectorhinal area/Layer 5
                            left Ectorhinal area/Layer 6a
                            left Ectorhinal area/Layer 6b
                    left Olfactory areas
                        left Main olfactory bulb
                        left Accessory olfactory bulb
"                            left Accessory olfactory bulb, glomerular layer"
"                            left Accessory olfactory bulb, granular layer"
"                            left Accessory olfactory bulb, mitral layer"
                        left Anterior olfactory nucleus
                        left Taenia tecta
"                            left Taenia tecta, dorsal part"
"                            left Taenia tecta, ventral part"
                        left Dorsal peduncular area
                        left Piriform area
                        left Nucleus of the lateral olfactory tract
"                            left Nucleus of the lateral olfactory tract, molecular layer"
"                            left Nucleus of the lateral olfactory tract, pyramidal layer"
"                            left Nucleus of the lateral olfactory tract, layer 3"
                        left Cortical amygdalar area
"                            left Cortical amygdalar area, anterior part"
"                            left Cortical amygdalar area, posterior part"
"                                left Cortical amygdalar area, posterior part, lateral zone"
"                                left Cortical amygdalar area, posterior part, medial zone"
                        left Piriform-amygdalar area
                        left Postpiriform transition area
                    left Hippocampal formation
                        left Hippocampal region
                            left Ammon's horn
                                left Field CA1
                                left Field CA2
                                left Field CA3
                            left Dentate gyrus
"                                left Dentate gyrus, molecular layer"
"                                left Dentate gyrus, polymorph layer"
"                                left Dentate gyrus, granule cell layer"
                            left Fasciola cinerea
                            left Induseum griseum
                        left Retrohippocampal region
                            left Entorhinal area
"                                left Entorhinal area, lateral part"
"                                    left Entorhinal area, lateral part, layer 1"
"                                    left Entorhinal area, lateral part, layer 2"
"                                    left Entorhinal area, lateral part, layer 3"
"                                    left Entorhinal area, lateral part, layer 5"
"                                    left Entorhinal area, lateral part, layer 6a"
"                                left Entorhinal area, medial part, dorsal zone"
"                                    left Entorhinal area, medial part, dorsal zone, layer 1"
"                                    left Entorhinal area, medial part, dorsal zone, layer 2"
"                                    left Entorhinal area, medial part, dorsal zone, layer 3"
"                                    left Entorhinal area, medial part, dorsal zone, layer 5"
"                                    left Entorhinal area, medial part, dorsal zone, layer 6"
                            left Parasubiculum
                            left Postsubiculum
                            left Presubiculum
                            left Subiculum
                            left Prosubiculum
                            left Hippocampo-amygdalar transition area
                            left Area prostriata
                left Cortical subplate
                    left Claustrum
                    left Endopiriform nucleus
"                        left Endopiriform nucleus, dorsal part"
"                        left Endopiriform nucleus, ventral part"
                    left Lateral amygdalar nucleus
                    left Basolateral amygdalar nucleus
"                        left Basolateral amygdalar nucleus, anterior part"
"                        left Basolateral amygdalar nucleus, posterior part"
"                        left Basolateral amygdalar nucleus, ventral part"
                    left Basomedial amygdalar nucleus
"                        left Basomedial amygdalar nucleus, anterior part"
"                        left Basomedial amygdalar nucleus, posterior part"
                    left Posterior amygdalar nucleus
            left Cerebral nuclei
                left Striatum
                    left Striatum dorsal region
                        left Caudoputamen
                    left Striatum ventral region
                        left Nucleus accumbens
                        left Fundus of striatum
                        left Olfactory tubercle
                    left Lateral septal complex
                        left Lateral septal nucleus
"                            left Lateral septal nucleus, caudal (caudodorsal) part"
"                            left Lateral septal nucleus, rostral (rostroventral) part"
"                            left Lateral septal nucleus, ventral part"
                        left Septofimbrial nucleus
                        left Septohippocampal nucleus
                    left Striatum-like amygdalar nuclei
                        left Anterior amygdalar area
                        left Bed nucleus of the accessory olfactory tract
                        left Central amygdalar nucleus
"                            left Central amygdalar nucleus, capsular part"
"                            left Central amygdalar nucleus, lateral part"
"                            left Central amygdalar nucleus, medial part"
                        left Intercalated amygdalar nucleus
                        left Medial amygdalar nucleus
                left Pallidum
"                    left Pallidum, dorsal region"
"                        left Globus pallidus, external segment"
"                        left Globus pallidus, internal segment"
"                    left Pallidum, ventral region"
                        left Substantia innominata
                        left Magnocellular nucleus
"                    left Pallidum, medial region"
                        left Medial septal complex
                            left Medial septal nucleus
                            left Diagonal band nucleus
                        left Triangular nucleus of septum
"                    left Pallidum, caudal region"
                        left Bed nuclei of the stria terminalis
                        left Bed nucleus of the anterior commissure
        left Brain stem
            left Interbrain
                left Thalamus
"                    left Thalamus, sensory-motor cortex related"
                        left Ventral group of the dorsal thalamus
                            left Ventral anterior-lateral complex of the thalamus
                            left Ventral medial nucleus of the thalamus
                            left Ventral posterior complex of the thalamus
                                left Ventral posterolateral nucleus of the thalamus
"                                left Ventral posterolateral nucleus of the thalamus, parvicellular part"
                                left Ventral posteromedial nucleus of the thalamus
"                                left Ventral posteromedial nucleus of the thalamus, parvicellular part"
                            left Posterior triangular thalamic nucleus
                        left Subparafascicular nucleus
"                            left Subparafascicular nucleus, magnocellular part"
"                            left Subparafascicular nucleus, parvicellular part"
                        left Subparafascicular area
                        left Peripeduncular nucleus
"                        left Geniculate group, dorsal thalamus"
                            left Medial geniculate complex
"                                left Medial geniculate complex, dorsal part"
"                                left Medial geniculate complex, ventral part"
"                                left Medial geniculate complex, medial part"
                            left Dorsal part of the lateral geniculate complex
"                                left Dorsal part of the lateral geniculate complex, shell"
"                                left Dorsal part of the lateral geniculate complex, core"
"                                left Dorsal part of the lateral geniculate complex, ipsilateral zone"
"                    left Thalamus, polymodal association cortex related"
                        left Lateral group of the dorsal thalamus
                            left Lateral posterior nucleus of the thalamus
                            left Posterior complex of the thalamus
                            left Posterior limiting nucleus of the thalamus
                            left Suprageniculate nucleus
                            left Ethmoid nucleus of the thalamus
                        left Anterior group of the dorsal thalamus
                            left Anteroventral nucleus of thalamus
                            left Anteromedial nucleus
"                                left Anteromedial nucleus, dorsal part"
"                                left Anteromedial nucleus, ventral part"
                            left Anterodorsal nucleus
                            left Interanteromedial nucleus of the thalamus
                            left Interanterodorsal nucleus of the thalamus
                            left Lateral dorsal nucleus of thalamus
                        left Medial group of the dorsal thalamus
                            left Intermediodorsal nucleus of the thalamus
                            left Mediodorsal nucleus of thalamus
                            left Submedial nucleus of the thalamus
                            left Perireunensis nucleus
                        left Midline group of the dorsal thalamus
                            left Paraventricular nucleus of the thalamus
                            left Parataenial nucleus
                            left Nucleus of reuniens
                            left Xiphoid thalamic nucleus
                        left Intralaminar nuclei of the dorsal thalamus
                            left Rhomboid nucleus
                            left Central medial nucleus of the thalamus
                            left Paracentral nucleus
                            left Central lateral nucleus of the thalamus
                            left Parafascicular nucleus
                            left Posterior intralaminar thalamic nucleus
                        left Reticular nucleus of the thalamus
"                        left Geniculate group, ventral thalamus"
                            left Intergeniculate leaflet of the lateral geniculate complex
                            left Intermediate geniculate nucleus
                            left Ventral part of the lateral geniculate complex
                            left Subgeniculate nucleus
                        left Epithalamus
                            left Medial habenula
                            left Lateral habenula
                left Hypothalamus
                    left Periventricular zone
                        left Supraoptic nucleus
                        left Accessory supraoptic group
                        left Paraventricular hypothalamic nucleus
"                        left Periventricular hypothalamic nucleus, anterior part"
"                        left Periventricular hypothalamic nucleus, intermediate part"
                        left Arcuate hypothalamic nucleus
                    left Periventricular region
                        left Anterodorsal preoptic nucleus
                        left Anteroventral preoptic nucleus
                        left Anteroventral periventricular nucleus
                        left Dorsomedial nucleus of the hypothalamus
                        left Median preoptic nucleus
                        left Medial preoptic area
                        left Vascular organ of the lamina terminalis
                        left Posterodorsal preoptic nucleus
                        left Parastrial nucleus
"                        left Periventricular hypothalamic nucleus, posterior part"
"                        left Periventricular hypothalamic nucleus, preoptic part"
                        left Subparaventricular zone
                        left Suprachiasmatic nucleus
                        left Subfornical organ
                        left Ventromedial preoptic nucleus
                        left Ventrolateral preoptic nucleus
                    left Hypothalamic medial zone
                        left Anterior hypothalamic nucleus
                        left Mammillary body
                            left Lateral mammillary nucleus
                            left Medial mammillary nucleus
"                                left Medial mammillary nucleus, median part"
"                                left Medial mammillary nucleus, lateral part"
"                                left Medial mammillary nucleus, medial part"
"                                left Medial mammillary nucleus, posterior part"
"                                left Medial mammillary nucleus, dorsal part"
                            left Supramammillary nucleus
                            left Tuberomammillary nucleus
"                                left Tuberomammillary nucleus, dorsal part"
"                                left Tuberomammillary nucleus, ventral part"
                        left Medial preoptic nucleus
                        left Dorsal premammillary nucleus
                        left Ventral premammillary nucleus
"                        left Paraventricular hypothalamic nucleus, descending division"
                        left Ventromedial hypothalamic nucleus
                        left Posterior hypothalamic nucleus
                    left Hypothalamic lateral zone
                        left Lateral hypothalamic area
                        left Lateral preoptic area
                        left Preparasubthalamic nucleus
                        left Parasubthalamic nucleus
                        left Perifornical nucleus
                        left Retrochiasmatic area
                        left Subthalamic nucleus
                        left Tuberal nucleus
                        left Zona incerta
                            left Fields of Forel
                    left Median eminence
            left Midbrain
"                left Midbrain, sensory related"
"                    left Superior colliculus, sensory related"
"                        left Superior colliculus, optic layer"
"                        left Superior colliculus, superficial gray layer"
"                        left Superior colliculus, zonal layer"
                    left Inferior colliculus
"                        left Inferior colliculus, central nucleus"
"                        left Inferior colliculus, dorsal nucleus"
"                        left Inferior colliculus, external nucleus"
                    left Nucleus of the brachium of the inferior colliculus
                    left Nucleus sagulum
                    left Parabigeminal nucleus
                    left Midbrain trigeminal nucleus
                    left Subcommissural organ
"                left Midbrain, motor related"
"                    left Substantia nigra, reticular part"
                    left Ventral tegmental area
                    left Paranigral nucleus
"                    left Midbrain reticular nucleus, retrorubral area"
                    left Midbrain reticular nucleus
"                    left Superior colliculus, motor related"
"                        left Superior colliculus, motor related, deep gray layer"
"                        left Superior colliculus, motor related, deep white layer"
"                        left Superior colliculus, motor related, intermediate white layer"
"                        left Superior colliculus, motor related, intermediate gray layer"
                    left Periaqueductal gray
                        left Precommissural nucleus
                        left Interstitial nucleus of Cajal
                        left Nucleus of Darkschewitsch
                        left Supraoculomotor periaqueductal gray
                    left Pretectal region
                        left Anterior pretectal nucleus
                        left Medial pretectal area
                        left Nucleus of the optic tract
