0
 medial geniculate complex
 dorsal part of the lateral geniculate complex
 lateral group of the dorsal thalamus
 lateral posterior nucleus of the thalamus
 posterior complex of the thalamus
 posterior limiting nucleus of the thalamus
 suprageniculate nucleus
 ethmoid nucleus of the thalamus
 anterior group of the dorsal thalamus
 anteroventral nucleus of thalamus
 anteromedial nucleus
 anterodorsal nucleus
 interanteromedial nucleus of the thalamus
 interanterodorsal nucleus of the thalamus
 lateral dorsal nucleus of thalamus
 medial group of the dorsal thalamus
 intermediodorsal nucleus of the thalamus
 mediodorsal nucleus of thalamus
 submedial nucleus of the thalamus
 perireunensis nucleus
 midline group of the dorsal thalamus
 paraventricular nucleus of the thalamus
 parataenial nucleus
 nucleus of reuniens
 xiphoid thalamic nucleus
 intralaminar nuclei of the dorsal thalamus
 rhomboid nucleus
 central medial nucleus of the thalamus
 paracentral nucleus
 central lateral nucleus of the thalamus
 parafascicular nucleus
 posterior intralaminar thalamic nucleus
 reticular nucleus of the thalamus
 intergeniculate leaflet of the lateral geniculate complex
 intermediate geniculate nucleus
 ventral part of the lateral geniculate complex
 subgeniculate nucleus
 epithalamus
 medial habenula
 lateral habenula
 hypothalamus
 periventricular zone
 supraoptic nucleus
 accessory supraoptic group
 paraventricular hypothalamic nucleus
 periventricular hypothalamic nucleus
 arcuate hypothalamic nucleus
 periventricular region
 anterodorsal preoptic nucleus
 anteroventral preoptic nucleus
 anteroventral periventricular nucleus
 dorsomedial nucleus of the hypothalamus
 median preoptic nucleus
 medial preoptic area
 vascular organ of the lamina terminalis
 posterodorsal preoptic nucleus
 parastrial nucleus
 subparaventricular zone
 suprachiasmatic nucleus
 subfornical organ
 ventromedial preoptic nucleus
 ventrolateral preoptic nucleus
 hypothalamic medial zone
 anterior hypothalamic nucleus
 mammillary body
 lateral mammillary nucleus
 medial mammillary nucleus
 supramammillary nucleus
 tuberomammillary nucleus
 medial preoptic nucleus
 dorsal premammillary nucleus
 ventral premammillary nucleus
 ventromedial hypothalamic nucleus
 posterior hypothalamic nucleus
 hypothalamic lateral zone
 lateral hypothalamic area
 lateral preoptic area
 preparasubthalamic nucleus
 parasubthalamic nucleus
 perifornical nucleus
 retrochiasmatic area
 subthalamic nucleus
 tuberal nucleus
 zona incerta
 fields of forel
 median eminence
 midbrain
 superior colliculus
 inferior colliculus
 nucleus of the brachium of the inferior colliculus
 nucleus sagulum
 parabigeminal nucleus
 midbrain trigeminal nucleus
 subcommissural organ
 paranigral nucleus
 midbrain reticular nucleus
 periaqueductal gray
 precommissural nucleus
 interstitial nucleus of cajal
 nucleus of darkschewitsch
 supraoculomotor periaqueductal gray
 pretectal region
 anterior pretectal nucleus
 medial pretectal area
 nucleus of the optic tract
 nucleus of the posterior commissure
 olivary pretectal nucleus
 posterior pretectal nucleus
 retroparafascicular nucleus
 cuneiform nucleus
 oculomotor nucleus
 medial accesory oculomotor nucleus
 edinger-westphal nucleus
 trochlear nucleus
 paratrochlear nucleus
 ventral tegmental nucleus
 anterior tegmental nucleus
 lateral terminal nucleus of the accessory optic tract
 dorsal terminal nucleus of the accessory optic tract
 medial terminal nucleus of the accessory optic tract
 pedunculopontine nucleus
 midbrain raphe nuclei
 interfascicular nucleus raphe
 interpeduncular nucleus
 rostral linear nucleus raphe
 central linear nucleus raphe
 dorsal nucleus raphe
 hindbrain
 pons
 nucleus of the lateral lemniscus
 principal sensory nucleus of the trigeminal
 parabrachial nucleus
 koelliker-fuse subnucleus
 superior olivary complex
 barrington's nucleus
 dorsal tegmental nucleus
 posterodorsal tegmental nucleus
 pontine central gray
 pontine gray
 pontine reticular nucleus
 supragenual nucleus
 supratrigeminal nucleus
 tegmental reticular nucleus
 motor nucleus of trigeminal
 peritrigeminal zone
 accessory trigeminal nucleus
 parvicellular motor 5 nucleus
 intertrigeminal nucleus
 superior central nucleus raphe
 locus ceruleus
 laterodorsal tegmental nucleus
 nucleus incertus
 nucleus raphe pontis
 subceruleus nucleus
 sublaterodorsal nucleus
 medulla
 area postrema
 cochlear nuclei
 dorsal cochlear nucleus
 ventral cochlear nucleus
 dorsal column nuclei
 cuneate nucleus
 gracile nucleus
 external cuneate nucleus
 nucleus of the trapezoid body
 nucleus of the solitary tract
 spinal nucleus of the trigeminal
 paratrigeminal nucleus
 abducens nucleus
 facial motor nucleus
 accessory facial motor nucleus
 nucleus ambiguus
 dorsal motor nucleus of the vagus nerve
 gigantocellular reticular nucleus
 infracerebellar nucleus
 inferior olivary complex
 intermediate reticular nucleus
 inferior salivatory nucleus
 linear nucleus of the medulla
 lateral reticular nucleus
 magnocellular reticular nucleus
 medullary reticular nucleus
 parvicellular reticular nucleus
 parasolitary nucleus
 paragigantocellular reticular nucleus
 perihypoglossal nuclei
 nucleus of roller
 nucleus prepositus
 parapyramidal nucleus
 vestibular nuclei
 lateral vestibular nucleus
 medial vestibular nucleus
 spinal vestibular nucleus
 superior vestibular nucleus
 nucleus x
 hypoglossal nucleus
 nucleus y
 nucleus raphe magnus
 nucleus raphe pallidus
 nucleus raphe obscurus
 cerebellum
 cerebellar cortex
 vermal regions
 lingula (i)
 central lobule
 lobule ii
 lobule iii
 culmen
 lobules iv-v
 declive (vi)
 folium-tuber vermis (vii)
 pyramus (viii)
 uvula (ix)
 nodulus (x)
 hemispheric regions
 simple lobule
 ansiform lobule
 crus 1
 crus 2
 paramedian lobule
 copula pyramidis
 paraflocculus
 flocculus
 cerebellar nuclei
 fastigial nucleus
 interposed nucleus
 dentate nucleus
 vestibulocerebellar nucleus
 fiber tracts
 cranial nerves
 vomeronasal nerve
 olfactory nerve
 olfactory nerve layer of main olfactory bulb
 lateral olfactory tract
 dorsal limb
 anterior commissure
 optic nerve
 brachium of the superior colliculus
 superior colliculus commissure
 optic chiasm
 optic tract
 oculomotor nerve
 medial longitudinal fascicle
 posterior commissure
 trochlear nerve
 trigeminal nerve
 motor root of the trigeminal nerve
 sensory root of the trigeminal nerve
 spinal tract of the trigeminal nerve
 facial nerve
 genu of the facial nerve
 vestibulocochlear nerve
 vestibular nerve
 cochlear nerve
 trapezoid body
 dorsal acoustic stria
 lateral lemniscus
 inferior colliculus commissure
 brachium of the inferior colliculus
 vagus nerve
 solitary tract
 dorsal roots
 cervicothalamic tract
 dorsal column
 cuneate fascicle
 medial lemniscus
 cerebellum related fiber tracts
 cerebellar commissure
 cerebellar peduncles
 superior cerebelar peduncles
 superior cerebellar peduncle decussation
 uncinate fascicle
 ventral spinocerebellar tract
 middle cerebellar peduncle
 inferior cerebellar peduncle
 dorsal spinocerebellar tract
 arbor vitae
 supra-callosal cerebral white matter
 lateral forebrain bundle system
 corpus callosum
 external capsule
 genu of corpus callosum
 corticospinal tract
 internal capsule
 cerebal peduncle
 pyramid
 pyramidal decussation
 thalamus related
 external medullary lamina of the thalamus
 optic radiation
 auditory radiation
 extrapyramidal fiber systems
 cerebral nuclei related
 nigrostriatal tract
 tectospinal pathway
 doral tegmental decussation
 crossed tectospinal pathway
 rubrospinal tract
 ventral tegmental decussation
 medial forebrain bundle system
 cerebrum related
 amygdalar capsule
 cingulum bundle
 fornix system
 alveus
 dorsal fornix
 fimbria
 postcommissural fornix
 medial corticohypothalamic tract
 columns of the fornix
 hippocampal commissures
 dorsal hippocampal commissure
 ventral hippocampal commissure
 stria terminalis
 commissural branch of stria terminalis
 hypothalamus related
 medial forebrain bundle
 supraoptic commissures
 mammillary related
 principal mammillary tract
 mammillothalamic tract
 mammillotegmental tract
 mammillary peduncle
 epithalamus related
 stria medullaris
 fasciculus retroflexus
 habenular commissure
 ventricular systems
 lateral ventricle
 subependymal zone
 choroid plexus
 third ventricle
 cerebral aqueduct
 fourth ventricle
 lateral recess
 central canal
 dorsal hippocampus
 ventral hippocampus
 basic cell groups and regions
 direct tectospinal pathway
 ventral medial hypothalamic area
 lateral amygdaloid area
 medial amygdaloid area
 decussation superior cerebellar peduncle
 temporal ctx
 transverse fibers pons
 flocculus cerebellum
 reticulotegmental nucleus
 pontine area
 visual 1 ctx
 ca1
 ca3
 interpeduncular area
 pontine reticular nucleus oral
 median raphe area
 mesencephalic reticular formation
 entorhinal ctx
 spinal trigeminal nuclear area
 lateral paragigantocellular area
 gigantocelllaris reticular area
 medullary reticular dorsal area
 medullary reticular ventral area
 cuneate area
 8th cerebellar lobule
 7th cerebellar lobule
 9th cerebellar lobule
 vestibular area
 10th cerebellar lobule
 prepositus area
 solitary tract area
 intermediate reticular area
 parvicellular reticular area
 ambiguus area
 lateral reticular area
 crus of ansiform lobule
 6th cerebellar lobule
 cerebellar nuclear area
 cerebral peduncle
 5th cerebellar lobule
 3rd cerebellar lobule
 2nd cerebellar lobule
 simple lobule cerebellum
 dorsal raphe
 lemniscal area
 parabrachial area
 pedunculopontine tegmental area
 4th cerebellar lobule
 pontine reticular nucleus caudal
 retrosplenial caudal ctx
 principal sensory nucleus trigeminal
 olivary complex
 pyramidal tracts
 facial nucleus
 lateral posterior thalamic area
 parafascicular thalamic area
 habenular area
 medial dorsal thalamic area
 posterior hypothalamic area
 dorsal medial hypothalamic area
 central medial thalamic area
 lateral caudal hypothalamic area
 medial mammillary area
 anterior pretectal thalamic area
 auditory ctx
 paraventricular thalamic area
 anterior thalamic area
 lateral dorsal thalamic area
 ventral  thalamic area
 reticular thalamic area
 secondary somaotsensory ctx
 lateral rostral hypothalamic area
 extended amydala
 central amygdaloid  area
 primary somatosensory ctx
 diagonal band of broca
 caudate putamen
 rostral piriform ctx
 endopiriform area
 bed nucleus stria terminalis
 lateral septal area
 secondary motor ctx
 primary motor ctx
 forceps minor corpus callosum
 prelimbic ctx
 frontal association ctx
 orbital ctx
 anterior olfactory area
 granular cell layer
 glomerular layer
 tenia tecta ctx
 medial septal area
 infralimbic ctx
 olfactory tubercles
 accumbens core
 accumbens shell
 parietal ctx
 anterior hypothalamic area
 paraventricular hypothalamic area
 reuniens thalamic area
 posterior thalamic area
 fimbria hippocampus
 ventral pallidum
 retrosplenial  rostral ctx
 fornix
 cortical amygdaloid area
 caudal piriform ctx
 basal amygdaloid area
 insular rostral ctx
 pituitary
 insular caudal ctx
 anterior amygdaloid area
 striatal
 basal_ganglia
 prefrontal
 posterior cingulate cortex
